通用码,数据模式,最优方法,是否V6新增方法,最优区间(周),移动平均MASE,智能方法MASE,MASE提升(%),移动平均总量误差,智能方法总量误差,总量误差提升(%)
CF3300320001,sparse,croston,是,13,0.9375,0.0299,96.81,30.0,0.96,96.81
CF3300350593,trending,ma_3,否,22,0.9302,0.0,100.0,4.0,0.0,100.0
CF3300350594,trending,ma_3,否,22,1.4286,0.0,100.0,8.0,0.0,100.0
CF3300350595,trending,ma_3,否,22,1.2121,0.0,100.0,4.0,0.0,100.0
CF3300350596,trending,ma_3,否,22,1.2121,0.0,100.0,4.0,0.0,100.0
CJ1010002556,intermittent,median_5,否,13,0.6,0.0,100.0,30.0,0.0,100.0
CJ1010003287,intermittent,adida,是,21,0.1719,0.0031,98.22,22.0,0.39,98.22
CJ1010003584,intermittent,optimized_ses,否,18,0.1845,0.0672,63.57,10.0,3.64,63.57
CJ1010003803,intermittent,weighted_ma_5,是,13,0.3684,0.0175,95.24,7.0,0.33,95.24
CJ1010003846,intermittent,winsorized,是,24,0.2023,0.0921,54.46,7.0,3.19,54.46
CJ1010003857,intermittent,ma_3,否,22,0.1515,0.0168,88.89,6.0,0.67,88.89
CJ1010003867,stable,optimized_hw,是,25,0.2922,0.0607,79.24,50.0,10.38,79.24
CJ1010003937,sparse,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010003958,intermittent,tsb_opt,否,25,0.1014,0.0288,71.61,5.0,1.42,71.61
CJ1010004051,intermittent,winsorized,是,24,0.7353,0.4473,39.17,75.0,45.62,39.17
CJ1010004074,seasonal,damped_trend,是,13,0.1404,0.0423,69.85,25.0,7.54,69.85
CJ1010004086,sparse,median_5,否,19,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010004169,seasonal,seasonal_naive,否,14,0.2988,0.0427,85.71,28.0,4.0,85.71
CJ1010004170,intermittent,median_5,否,19,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010004439,seasonal,seasonal_naive,否,14,0.0909,0.0,100.0,1.0,0.0,100.0
CJ1010004510,lumpy,tsb_opt,否,19,0.407,0.16,60.69,70.0,27.52,60.69
CJ1010004675,seasonal,ma_3,否,14,0.2861,0.0106,96.3,135.0,5.0,96.3
CJ1010004676,stable,ma_3,否,23,0.3332,0.0636,80.92,131.0,25.0,80.92
CJ1010004903,trending,ma_5,否,26,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010004973,intermittent,sba,否,13,1.25,0.235,81.2,15.0,2.82,81.2
CJ1010004974,seasonal,theta,是,18,0.0765,0.0172,77.51,15.0,3.37,77.51
CJ1010005169,sparse,winsorized,是,20,0.1087,0.0136,87.5,1.0,0.12,87.5
CJ1010005251,seasonal,seasonal_naive,否,21,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010005351,lumpy,naive_drift,是,13,0.4065,0.2033,50.0,20.0,10.0,50.0
CJ1010005371,sparse,adida,是,22,0.6993,0.1384,80.21,20.0,3.96,80.21
CJ1010005477,seasonal,seasonal_naive,否,26,0.5,0.0,100.0,10.0,0.0,100.0
CJ1010005478,seasonal,damped_trend,是,22,0.2675,0.0106,96.05,140.0,5.53,96.05
CJ1010005505,intermittent,ma_5,否,14,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010005517,intermittent,ma_5,否,26,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010005522,intermittent,median_5,否,24,0.6667,0.0,100.0,45.0,0.0,100.0
CJ1010005528,stable,optimized_hw,是,13,0.6422,0.4315,32.81,215.0,144.46,32.81
CJ1010005530,trending,holt_winters,否,26,0.116,0.009,92.24,10.0,0.78,92.24
CJ1010005533,seasonal,naive_drift,是,16,0.1623,0.0758,53.33,15.0,7.0,53.33
CJ1010005539,stable,damped_trend,是,26,0.2984,0.0349,88.3,69.0,8.07,88.3
CJ1010005550,sparse,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010005576,intermittent,interval_based,否,13,0.2551,0.0216,91.53,10.0,0.85,91.53
CJ1010005588,stable,theta,是,13,0.0909,0.0105,88.49,25.0,2.88,88.49
CJ1010005594,seasonal,median_5,否,25,0.6228,0.0,100.0,54.0,0.0,100.0
CJ1010005601,trending,seasonal_naive,否,23,0.2013,0.0297,85.25,122.0,18.0,85.25
CJ1010005611,lumpy,interval_based,否,14,3.4653,2.6931,22.29,70.0,54.4,22.29
CJ1010005632,sparse,croston,是,18,0.8651,0.1946,77.5,50.0,11.25,77.5
CJ1010005639,lumpy,winsorized,是,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010005640,seasonal,seasonal_naive,否,19,0.1786,0.0,100.0,2.0,0.0,100.0
CJ1010005660,stable,optimized_des,否,20,0.0324,0.0135,58.26,5.0,2.09,58.26
CJ1010005668,seasonal,holt_winters,否,26,0.3968,0.0,100.0,35.0,0.0,100.0
CJ1010005671,intermittent,interval_based,否,19,0.431,0.001,99.77,10.0,0.02,99.77
CJ1010005745,seasonal,optimized_des,否,18,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010005875,intermittent,median_5,否,22,0.4065,0.0,100.0,25.0,0.0,100.0
CJ1010005942,seasonal,optimized_des,否,17,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010006139,intermittent,interval_based,否,13,0.6343,0.1043,83.56,17.0,2.79,83.56
CJ1010006199,intermittent,ma_3,否,13,0.8182,0.3788,53.7,36.0,16.67,53.7
CJ1010006263,intermittent,median_5,否,14,0.8255,0.0,100.0,70.0,0.0,100.0
CJ1010006293,seasonal,ma_5,否,22,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010006374,intermittent,weighted_ma_5,是,26,0.2041,0.1701,16.67,10.0,8.33,16.67
CJ1010006464,seasonal,seasonal_naive,否,16,2.0588,1.3235,35.71,14.0,9.0,35.71
CJ1010006471,sparse,croston,是,20,2.6923,1.7218,36.05,7.0,4.48,36.05
CJ1010006502,trending,naive_drift,是,13,0.5,0.0,100.0,20.0,0.0,100.0
CJ1010006503,intermittent,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010006593,intermittent,naive_drift,是,26,0.7143,0.2143,70.0,4.0,1.2,70.0
CJ1010006627,intermittent,optimized_ses,否,22,0.3604,0.1342,62.76,32.0,11.92,62.76
CJ1010006631,intermittent,croston,是,19,0.5464,0.012,97.81,20.0,0.44,97.81
CJ1010006642,seasonal,naive_drift,是,14,0.2564,0.0769,70.0,10.0,3.0,70.0
CJ1010006645,seasonal,seasonal_naive,否,13,0.5,0.0,100.0,10.0,0.0,100.0
CJ1010006741,stable,ma_3,否,24,0.3534,0.0471,86.67,60.0,8.0,86.67
CJ1010006743,stable,weighted_ma_5,是,13,0.0312,0.0104,66.67,5.0,1.67,66.67
CJ1010006751,intermittent,tsb_opt,否,24,0.0182,0.0063,65.24,1.0,0.35,65.24
CJ1010006896,seasonal,seasonal_naive,否,26,0.3626,0.0954,73.68,95.0,25.0,73.68
CJ1010006909,sparse,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010006926,intermittent,interval_based,否,25,0.8333,0.0354,95.76,40.0,1.7,95.76
CJ1010006958,intermittent,winsorized,是,13,0.1385,0.0087,93.75,5.0,0.31,93.75
CJ1010007001,intermittent,median_5,否,25,1.0606,0.202,80.95,21.0,4.0,80.95
CJ1010007035,intermittent,adida,是,13,0.3289,0.0307,90.67,15.0,1.4,90.67
CJ1010007063,intermittent,median_5,否,16,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010007103,intermittent,median_5,否,18,0.431,0.0,100.0,5.0,0.0,100.0
CJ1010007122,intermittent,optimized_ses,否,18,0.6047,0.1003,83.41,52.0,8.63,83.41
CJ1010007137,seasonal,optimized_hw,是,26,0.2597,0.0485,81.33,20.0,3.73,81.33
CJ1010007140,sparse,croston,是,13,0.625,0.0139,97.77,20.0,0.45,97.77
CJ1010007156,intermittent,naive_drift,是,13,1.5517,0.069,95.56,9.0,0.4,95.56
CJ1010007191,intermittent,winsorized,是,14,0.303,0.017,94.37,10.0,0.56,94.37
CJ1010007210,seasonal,ma_5,否,25,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010007222,sparse,croston,是,21,1.0204,0.0097,99.05,5.0,0.05,99.05
CJ1010007319,sparse,naive_drift,是,24,0.1942,0.0291,85.0,2.0,0.3,85.0
CJ1010007334,erratic,median_5,否,17,0.1254,0.0784,37.5,16.0,10.0,37.5
CJ1010007337,intermittent,interval_based,否,13,0.1961,0.012,93.88,10.0,0.61,93.88
CJ1010007360,intermittent,median_5,否,18,0.6654,0.0,100.0,35.0,0.0,100.0
CJ1010007386,seasonal,median_5,否,14,0.6757,0.0,100.0,50.0,0.0,100.0
CJ1010007390,intermittent,ma_5,否,16,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010007452,sparse,tsb_opt,否,13,0.2353,0.0754,67.96,12.0,3.85,67.96
CJ1010007454,sparse,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010007548,sparse,median_5,否,13,0.0893,0.0,100.0,2.0,0.0,100.0
CJ1010007576,intermittent,ma_3,否,26,0.5208,0.2315,55.56,30.0,13.33,55.56
CJ1010007591,seasonal,ma_5,否,24,0.1029,0.1029,0.0,5.0,5.0,0.0
CJ1010007647,seasonal,optimized_des,否,25,0.5,0.0048,99.04,10.0,0.1,99.04
CJ1010007687,intermittent,winsorized,是,26,0.015,0.0009,93.75,1.0,0.06,93.75
CJ1010007782,intermittent,adida,是,13,0.5319,0.0532,90.0,10.0,1.0,90.0
CJ1010007810,seasonal,ma_5,否,24,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010007843,stable,ma_5,否,15,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010007848,stable,optimized_des,否,13,1.0561,0.172,83.71,569.0,92.7,83.71
CJ1010007850,erratic,weighted_ma_5,是,13,0.3343,0.0101,96.97,55.0,1.67,96.97
CJ1010007851,erratic,adida,是,13,1.7986,0.473,73.7,200.0,52.6,73.7
CJ1010007854,sparse,croston,是,14,1.1628,0.0311,97.33,20.0,0.53,97.33
CJ1010007904,intermittent,ma_3,否,13,0.0833,0.0347,58.33,4.0,1.67,58.33
CJ1010007905,intermittent,sba,否,13,0.7054,0.1444,79.53,34.0,6.96,79.53
CJ1010007928,intermittent,median_5,否,14,1.2557,0.0,100.0,55.0,0.0,100.0
CJ1010007969,sparse,median_5,否,24,0.3571,0.0,100.0,10.0,0.0,100.0
CJ1010007993,intermittent,theta,是,13,0.5,0.0561,88.77,20.0,2.25,88.77
CJ1010007994,intermittent,weighted_ma_5,是,15,0.9804,0.0,100.0,50.0,0.0,100.0
CJ1010007999,lumpy,tsb_opt,否,13,2.1757,0.1861,91.45,52.0,4.45,91.45
CJ1010008000,erratic,ma_3,否,21,0.2378,0.0338,85.8,115.0,16.33,85.8
CJ1010008037,stable,interval_based,否,14,0.3352,0.0469,86.0,36.0,5.04,86.0
CJ1010008038,stable,ma_7,否,13,0.0917,0.0151,83.52,13.0,2.14,83.52
CJ1010008046,seasonal,median_5,否,18,0.5172,0.0,100.0,3.0,0.0,100.0
CJ1010008144,intermittent,winsorized,是,13,0.2326,0.0145,93.75,10.0,0.62,93.75
CJ1010008188,sparse,interval_based,否,13,1.1207,0.3135,72.03,13.0,3.64,72.03
CJ1010008196,seasonal,ma_5,否,19,0.0623,0.0623,0.0,2.0,2.0,0.0
CJ1010008204,lumpy,tsb_opt,否,13,0.625,0.0529,91.54,3.0,0.25,91.54
CJ1010008240,lumpy,ma_5,否,22,0.0741,0.0741,0.0,2.0,2.0,0.0
CJ1010008259,sparse,median_5,否,18,0.6329,0.0,100.0,10.0,0.0,100.0
CJ1010008261,stable,theta,是,15,0.486,0.158,67.5,80.0,26.0,67.5
CJ1010008371,seasonal,optimized_hw,是,14,0.1033,0.0449,56.5,5.0,2.18,56.5
CJ1010008381,intermittent,winsorized,是,13,0.7143,0.0446,93.75,10.0,0.62,93.75
CJ1010008453,seasonal,optimized_hw,是,14,0.7116,0.0758,89.34,19.0,2.03,89.34
CJ1010008489,lumpy,median_5,否,26,0.5435,0.0,100.0,10.0,0.0,100.0
CJ1010008533,intermittent,winsorized,是,25,0.1333,0.0042,96.87,10.0,0.31,96.88
CJ1010008568,seasonal,optimized_hw,是,13,0.3293,0.1139,65.42,11.0,3.8,65.42
CJ1010008616,intermittent,adida,是,13,0.4808,0.0901,81.25,5.0,0.94,81.25
CJ1010008725,intermittent,sba,否,13,0.5102,0.0021,99.59,5.0,0.02,99.59
CJ1010008815,seasonal,seasonal_naive,否,13,0.1983,0.0421,78.79,66.0,14.0,78.79
CJ1010008860,seasonal,optimized_hw,是,14,3.5088,2.4974,28.83,40.0,28.47,28.83
CJ1010008951,lumpy,weighted_ma_5,是,18,0.2899,0.1932,33.33,2.0,1.33,33.33
CJ1010009191,lumpy,croston,是,13,1.462,0.012,99.18,50.0,0.41,99.18
CJ1010009404,intermittent,median_5,否,13,0.3371,0.0,100.0,30.0,0.0,100.0
CJ1010010478,intermittent,ma_5,否,21,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010061096,intermittent,median_5,否,15,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010061301,erratic,weighted_ma_5,是,22,0.0763,0.0509,33.33,10.0,6.67,33.33
CJ1010061352,sparse,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010071092,intermittent,interval_based,否,21,0.3153,0.1223,61.22,28.0,10.86,61.22
CJ1010071343,seasonal,optimized_ses,否,14,0.1471,0.0473,67.82,20.0,6.44,67.82
CJ1010071355,sparse,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010071373,seasonal,optimized_des,否,25,0.308,0.2477,19.59,120.0,96.49,19.59
CJ1010071480,stable,ma_3,否,21,0.3455,0.0307,91.11,150.0,13.33,91.11
CJ1010101644,sparse,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010101786,seasonal,holt_winters,否,13,0.7177,0.0,100.0,15.0,0.0,100.0
CJ1010101830,sparse,adida,是,13,0.5952,0.0496,91.67,50.0,4.17,91.67
CJ1010101842,intermittent,weighted_ma_5,是,14,0.2252,0.0751,66.67,50.0,16.67,66.67
CJ1010101843,intermittent,ma_5,否,15,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010121214,seasonal,seasonal_naive,否,14,0.2358,0.0472,80.0,50.0,10.0,80.0
CJ1010121304,seasonal,optimized_des,否,17,0.6944,0.0241,96.53,50.0,1.73,96.53
CJ1010121305,intermittent,weighted_ma_5,是,13,0.2336,0.0779,66.67,50.0,16.67,66.67
CJ1010121317,seasonal,optimized_ses,否,13,0.1613,0.0438,72.86,20.0,5.43,72.86
CJ1010121357,intermittent,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010121496,sparse,interval_based,否,13,2.9167,0.8424,71.12,35.0,10.11,71.12
CJ1010121509,seasonal,median_5,否,20,0.4958,0.0,100.0,70.0,0.0,100.0
CJ1010121510,seasonal,damped_trend,是,13,0.1953,0.055,71.82,25.0,7.04,71.82
CJ1010121584,lumpy,adida,是,14,1.45,0.3483,75.98,435.0,104.5,75.98
CJ1010121663,seasonal,ma_3,否,22,0.7902,0.392,50.39,430.0,213.33,50.39
CJ1010121688,intermittent,optimized_ses,否,13,0.1741,0.1221,29.85,200.0,140.31,29.85
CJ1010121703,intermittent,winsorized,是,13,0.9302,0.3634,60.94,40.0,15.63,60.94
CJ1010121804,seasonal,theta,是,15,0.8848,0.4258,51.88,63.0,30.32,51.88
CJ1010130154,intermittent,median_5,否,13,0.2404,0.0,100.0,5.0,0.0,100.0
CJ1010130261,sparse,median_5,否,26,0.625,0.0,100.0,80.0,0.0,100.0
CJ1010130283,seasonal,seasonal_naive,否,19,2.3622,0.3937,83.33,60.0,10.0,83.33
CJ1010130285,intermittent,median_5,否,17,0.6452,0.0,100.0,40.0,0.0,100.0
CJ1010140298,lumpy,winsorized,是,24,0.3544,0.1203,66.07,140.0,47.5,66.07
CJ1010140384,intermittent,croston,是,26,0.3226,0.0264,91.81,40.0,3.27,91.81
CJ1010140414,seasonal,holt_winters,否,13,0.6173,0.2804,54.57,100.0,45.43,54.57
CJ1010160594,seasonal,optimized_hw,是,26,0.339,0.0847,75.0,20.0,5.0,75.0
CJ1010160989,intermittent,median_5,否,21,0.5882,0.0,100.0,20.0,0.0,100.0
CJ1010161081,seasonal,optimized_hw,是,15,0.8167,0.1363,83.31,245.0,40.88,83.31
CJ1010161410,intermittent,adida,是,14,0.5263,0.0526,90.0,10.0,1.0,90.0
CJ1010250007,intermittent,median_5,否,14,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010270017,sparse,median_5,否,13,0.1724,0.0,100.0,1.0,0.0,100.0
CJ1010270027,seasonal,naive_drift,是,23,0.566,0.2075,63.33,9.0,3.3,63.33
CJ1010270029,trending,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1010270032,seasonal,theta,是,14,0.3448,0.0055,98.41,1.0,0.02,98.41
CJ1010270041,stable,damped_trend,是,20,0.2341,0.0123,94.73,7.0,0.37,94.73
CJ1010270046,intermittent,adida,是,13,2.9167,0.7083,75.71,14.0,3.4,75.71
CJ1010270082,stable,theta,是,13,0.6728,0.1905,71.69,22.0,6.23,71.69
CJ1010300047,trending,optimized_des,否,13,0.0,0.0,0.0,0.0,0.0,0.0
