通用码,全历史模式,最优区间模式,最终采用模式,模式漂移,最优区间长度,零值比(全历史),零值比(最优区间),CV(全历史),CV(最优区间),趋势(全历史),趋势(最优区间),MASE,最优方法,是否V6新增方法
CF3300320001,sparse,sparse,sparse,否,13,0.8431,0.9231,0.866,0.0,none,none,0.0299,croston,是
CF3300350593,lumpy,trending,trending,是,22,0.7255,0.6818,0.9769,0.7289,none,increasing,0.0,ma_3,否
CF3300350594,trending,trending,trending,否,22,0.7255,0.6818,0.7308,0.7289,increasing,increasing,0.0,ma_3,否
CF3300350595,lumpy,trending,trending,是,22,0.7255,0.6818,0.7024,0.7289,none,increasing,0.0,ma_3,否
CF3300350596,lumpy,trending,trending,是,22,0.7255,0.6818,0.7024,0.7289,none,increasing,0.0,ma_3,否
CJ1010002556,intermittent,intermittent,intermittent,否,13,0.7647,0.6923,0.4491,0.4738,none,none,0.0,median_5,否
CJ1010003287,seasonal,intermittent,intermittent,是,21,0.6078,0.2857,0.5609,0.3808,increasing,none,0.0031,adida,是
CJ1010003584,intermittent,intermittent,intermittent,否,18,0.549,0.5,0.6846,0.5292,none,none,0.0672,optimized_ses,否
CJ1010003803,sparse,intermittent,intermittent,是,13,0.8039,0.7692,0.4817,0.3536,none,none,0.0175,weighted_ma_5,是
CJ1010003846,intermittent,intermittent,intermittent,否,24,0.6471,0.7083,0.6582,0.4489,none,none,0.0921,winsorized,是
CJ1010003857,trending,seasonal,seasonal,是,22,0.6863,0.8182,0.4112,0.1208,decreasing,none,0.0168,ma_3,否
CJ1010003867,stable,stable,stable,否,25,0.0784,0.08,0.4865,0.3881,none,none,0.0607,optimized_hw,是
CJ1010003937,trending,sparse,sparse,是,13,0.6863,0.8462,0.7831,0.2,decreasing,none,0.0,median_5,否
CJ1010003958,intermittent,seasonal,seasonal,是,25,0.451,0.48,0.6136,0.5642,none,none,0.0467,theta,是
CJ1010004051,intermittent,intermittent,intermittent,否,24,0.2745,0.25,0.5382,0.5022,none,none,0.4473,winsorized,是
CJ1010004074,intermittent,intermittent,intermittent,否,13,0.4118,0.6154,0.5216,0.2578,none,none,0.0131,theta,是
CJ1010004086,lumpy,sparse,sparse,是,19,0.7843,0.9474,1.076,0.0,none,none,0.0,median_5,否
CJ1010004169,seasonal,seasonal,seasonal,否,14,0.3725,0.2143,1.0255,0.8695,none,none,0.0427,seasonal_naive,否
CJ1010004170,trending,trending,trending,否,19,0.7451,0.7895,0.6145,0.4724,decreasing,decreasing,0.0,optimized_des,否
CJ1010004439,seasonal,seasonal,seasonal,否,14,0.8039,0.8571,0.5933,0.8182,none,none,0.0,seasonal_naive,否
CJ1010004510,seasonal,intermittent,intermittent,是,19,0.3137,0.4211,0.9103,0.5612,decreasing,none,0.1079,theta,是
CJ1010004675,seasonal,stable,stable,是,14,0.098,0.1429,0.8364,0.6461,decreasing,none,0.0106,ma_3,否
CJ1010004676,seasonal,stable,stable,是,23,0.1569,0.2174,1.1031,0.6779,decreasing,none,0.0141,theta,是
CJ1010004903,seasonal,intermittent,intermittent,是,26,0.4706,0.5769,0.4893,0.5173,decreasing,none,0.0,ma_5,否
CJ1010004973,lumpy,intermittent,intermittent,是,13,0.7843,0.6923,0.9158,0.6434,none,none,0.3304,interval_based,否
CJ1010004974,stable,stable,stable,否,18,0.1765,0.1111,0.5365,0.5414,none,none,0.0097,interval_based,否
CJ1010005169,sparse,sparse,sparse,否,20,0.8235,0.85,0.6009,0.5401,none,none,0.0136,winsorized,是
CJ1010005251,seasonal,seasonal,seasonal,否,21,0.7059,0.8571,0.6261,0.202,decreasing,none,0.0,seasonal_naive,否
CJ1010005351,lumpy,lumpy,lumpy,否,13,0.5098,0.3846,1.767,0.7582,none,none,0.1211,theta,是
CJ1010005371,trending,sparse,sparse,是,22,0.7451,0.9545,0.4904,0.0,decreasing,none,0.1384,adida,是
CJ1010005477,seasonal,intermittent,intermittent,是,26,0.7255,0.7692,0.8085,0.4518,none,none,0.0,median_5,否
CJ1010005478,erratic,seasonal,seasonal,是,22,0.1765,0.0,0.7682,1.0036,none,decreasing,0.0975,optimized_des,否
CJ1010005505,intermittent,intermittent,intermittent,否,14,0.4902,0.5714,0.6148,0.4037,none,none,0.0,ma_5,否
CJ1010005517,seasonal,intermittent,intermittent,是,26,0.6471,0.7308,0.4835,0.559,none,none,0.0,ma_5,否
CJ1010005522,seasonal,intermittent,intermittent,是,24,0.4902,0.5417,0.6314,0.5092,none,none,0.0,median_5,否
CJ1010005528,trending,stable,stable,是,13,0.0196,0.0,0.3692,0.3484,decreasing,none,0.4315,optimized_hw,是
CJ1010005530,trending,seasonal,seasonal,是,26,0.4902,0.6154,0.5356,0.4404,decreasing,decreasing,0.0095,theta,是
CJ1010005533,seasonal,seasonal,seasonal,否,16,0.1373,0.3125,0.5676,0.3747,decreasing,none,0.013,theta,是
CJ1010005539,trending,seasonal,seasonal,是,26,0.0,0.0,0.5584,0.5456,decreasing,none,0.173,median_5,否
CJ1010005550,trending,sparse,sparse,是,13,0.8039,0.9231,0.5313,0.0,decreasing,none,0.0,median_5,否
CJ1010005576,trending,intermittent,intermittent,是,13,0.6078,0.7692,0.693,0.3536,decreasing,none,0.0216,interval_based,否
CJ1010005588,stable,stable,stable,否,13,0.1961,0.1538,0.5859,0.2628,none,none,0.0523,optimized_hw,是
CJ1010005594,lumpy,lumpy,lumpy,否,25,0.3725,0.28,0.9546,0.7062,none,none,0.0,median_5,否
CJ1010005601,stable,trending,trending,是,23,0.0588,0.0,0.6531,0.7343,none,decreasing,0.0297,seasonal_naive,否
CJ1010005611,seasonal,sparse,sparse,是,14,0.8235,0.9286,1.0936,0.0,none,none,2.6931,interval_based,否
CJ1010005632,lumpy,sparse,sparse,是,18,0.7647,0.8889,0.8629,0.9143,none,none,0.1946,croston,是
CJ1010005639,lumpy,sparse,sparse,是,13,0.6471,0.8462,1.0181,0.5,none,none,0.0,median_5,否
CJ1010005640,seasonal,seasonal,seasonal,否,19,0.7451,0.7895,0.5196,0.7778,none,none,0.0,seasonal_naive,否
CJ1010005660,trending,stable,stable,是,20,0.2157,0.0,0.5932,0.5277,increasing,none,0.0135,optimized_des,否
CJ1010005668,lumpy,intermittent,intermittent,是,26,0.5294,0.5385,0.7147,0.424,none,none,0.0,median_5,否
CJ1010005671,intermittent,intermittent,intermittent,否,19,0.7647,0.6316,0.5448,0.5521,none,none,0.001,interval_based,否
CJ1010005745,seasonal,sparse,sparse,是,18,0.7059,0.9444,0.8153,0.0,decreasing,none,0.0,median_5,否
CJ1010005875,seasonal,intermittent,intermittent,是,22,0.5098,0.6364,0.5334,0.293,decreasing,none,0.0,median_5,否
CJ1010005942,trending,sparse,sparse,是,17,0.7059,0.8824,0.3432,0.2857,decreasing,none,0.0,median_5,否
CJ1010006139,intermittent,intermittent,intermittent,否,13,0.6078,0.5385,0.481,0.6311,none,none,0.1043,interval_based,否
CJ1010006199,intermittent,intermittent,intermittent,否,13,0.549,0.4615,0.5072,0.4578,none,none,0.3788,ma_3,否
CJ1010006263,seasonal,seasonal,seasonal,否,14,0.6863,0.7143,0.3493,0.1155,none,none,0.0,median_5,否
CJ1010006293,seasonal,seasonal,seasonal,否,22,0.4314,0.7273,0.5138,0.4398,decreasing,none,0.0,ma_5,否
CJ1010006374,intermittent,intermittent,intermittent,否,26,0.549,0.5769,0.4999,0.4984,none,none,0.1701,weighted_ma_5,是
