通用码,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
CF3300320001,0,0,50,0,0,0,0,50,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,10,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0
CF3300350593,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,2,0,0,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,6,1,2,3,1,1,4,4,0
CF3300350594,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,2,0,0,0,0,2,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,12,2,4,6,2,2,8,8,0
CF3300350595,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,6,1,2,3,1,1,4,4,0
CF3300350596,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,6,1,2,3,1,1,4,4,0
CJ1010002556,0,0,0,0,20,20,0,0,0,0,0,30,0,0,0,0,0,0,0,0,50,0,0,20,0,0,0,0,0,0,20,0,0,20,0,20,0,0,0,10,0,0,20,0,10,0,30,0,0,0,0,0,0,0,0,0
CJ1010003287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,80,30,0,150,0,60,0,80,45,0,50,0,30,30,30,50,60,60,0,19,0,60,20,50,0,30,0,42,30,0,30,20,20
CJ1010003584,0,10,0,0,15,0,10,0,20,0,0,1,29,5,0,0,0,0,5,1,9,0,16,1,0,0,0,0,0,33,0,0,20,0,15,0,10,0,0,0,0,10,25,5,10,15,0,0,30,0,30,0,5,5,20,20
CJ1010003803,0,0,0,0,0,0,0,10,0,10,0,15,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,9,0,0,10,0,0,20,0,0,0,0,10,0,0,0,0,0,0,0,0,3
CJ1010003846,0,10,0,0,5,5,0,5,0,0,0,5,0,0,0,0,10,0,0,10,10,0,3,27,0,30,0,20,0,0,0,0,10,0,0,0,0,0,15,15,20,0,0,0,0,20,0,0,0,1,0,0,0,8,0,0
CJ1010003857,0,20,30,0,20,0,10,20,0,0,20,10,0,0,20,0,10,0,10,0,0,0,0,0,0,25,10,0,0,0,0,10,0,0,0,10,0,0,0,13,0,0,0,0,0,0,0,0,10,0,0,10,0,0,5,1
CJ1010003867,50,83,0,90,15,65,60,70,85,20,90,25,40,0,50,40,35,10,10,80,70,40,75,30,80,20,0,60,20,40,50,10,30,65,20,60,30,60,40,40,50,20,50,30,55,40,50,20,40,0,65,10,10,70,100,35
CJ1010003937,5,1,12,0,5,3,0,6,0,2,0,2,0,0,0,0,0,0,0,0,1,5,0,0,0,2,0,0,0,0,2,3,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJ1010003958,3,7,0,0,10,10,8,22,10,0,20,0,30,5,0,0,0,0,5,15,0,0,20,0,1,20,0,0,0,0,20,0,14,15,0,5,10,10,3,0,5,0,10,0,2,22,0,0,20,0,20,0,1,25,4,5
CJ1010004051,0,10,30,0,15,50,15,35,40,30,5,20,40,0,0,20,20,0,10,20,0,20,10,60,0,23,0,15,10,52,0,0,20,40,20,0,25,25,0,50,35,25,40,0,10,10,0,40,30,10,20,0,0,10,15,0
CJ1010004074,0,0,110,0,50,0,0,80,20,80,20,0,40,0,80,20,0,0,40,80,20,0,40,20,20,40,0,80,80,60,40,0,20,40,60,0,60,20,0,50,0,0,40,20,0,40,40,0,0,0,0,40,5,20,0,0
CJ1010004086,0,1,1,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,10,0,0,0,1,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJ1010004169,0,0,30,23,0,30,121,30,28,65,5,10,0,0,20,0,0,0,10,0,20,1,20,0,0,40,0,0,5,10,10,0,0,20,0,6,11,5,42,5,0,0,55,5,0,10,15,2,20,17,35,0,0,48,11,2
CJ1010004170,10,7,11,0,0,0,5,10,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CJ1010004439,0,10,0,0,0,5,0,0,3,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CJ1010004510,0,200,20,130,50,60,65,170,95,70,55,80,130,50,133,10,0,10,0,70,40,60,20,20,0,0,0,12,50,0,0,20,2,10,0,0,10,25,0,0,0,0,11,0,42,20,24,36,20,20,0,10,0,20,0,0
CJ1010004675,0,590,110,300,150,170,280,420,290,310,305,220,340,210,210,80,40,20,134,220,40,160,80,120,0,40,20,180,180,66,80,65,20,175,20,0,140,40,140,60,32,10,60,0,40,150,100,100,95,10,0,80,0,10,60,20
CJ1010004676,0,640,60,300,150,140,240,400,220,180,250,180,140,150,320,40,0,20,94,160,100,40,60,60,0,60,20,40,120,50,20,50,0,30,0,0,20,25,40,20,20,10,50,0,20,80,60,76,25,20,0,0,0,10,0,40
CJ1010004903,0,20,0,0,30,10,0,20,40,20,20,40,20,0,35,0,20,0,20,0,20,0,20,10,10,0,35,0,20,0,20,15,0,0,0,10,10,10,10,10,0,0,0,0,0,0,10,0,0,0,10,10,0,0,0,10
CJ1010004973,0,0,0,0,0,0,0,0,0,0,0,25,20,2,0,0,0,0,0,10,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,5,0,0,0,3,12,0,0,0,0,0,0,10,0,5,0
CJ1010004974,30,100,0,0,3,60,5,75,30,37,75,0,40,50,0,70,20,0,45,60,60,40,30,0,50,25,50,50,5,90,0,55,30,95,0,55,5,50,35,50,25,50,15,60,55,20,60,75,10,0,40,50,30,65,20,5
CJ1010005169,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,5,0,1,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0
CJ1010005251,0,20,10,10,40,0,5,10,0,35,0,0,20,0,0,20,0,0,0,0,0,0,5,0,0,0,15,0,10,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
CJ1010005351,0,0,41,0,5,10,130,35,20,5,5,0,0,0,20,10,0,0,0,2,0,5,0,2,0,10,0,0,0,1,0,0,0,0,0,0,6,2,1,1,5,1,0,0,0,15,10,0,10,10,0,0,0,0,0,10
CJ1010005371,0,30,0,0,3,0,10,10,20,20,5,35,17,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0
CJ1010005477,10,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,10,30,10,0,25,5,0,0,0,0,10,0,0,5,0,2,10,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
CJ1010005478,20,310,420,210,430,112,0,0,0,0,0,0,0,0,138,120,160,0,240,141,300,220,280,100,110,340,125,340,185,480,60,40,240,320,140,50,40,85,60,20,110,20,60,130,65,80,70,120,80,20,60,40,30,60,40,40
CJ1010005505,20,0,31,34,0,25,0,0,35,20,25,5,20,2,0,0,10,0,10,33,5,10,18,0,0,0,0,1,0,30,0,0,0,50,0,0,10,9,0,0,16,0,20,30,10,0,0,0,20,0,0,10,0,10,0,0
CJ1010005517,0,20,0,0,3,0,0,17,0,0,20,0,10,20,0,20,0,0,10,5,0,20,0,0,15,0,5,25,0,5,0,10,0,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10
CJ1010005522,0,0,30,0,0,30,23,0,17,55,5,0,0,0,15,0,0,0,0,5,20,30,35,10,40,5,5,30,20,0,13,5,0,22,5,0,0,0,0,0,0,0,5,20,0,30,0,0,20,0,25,0,0,0,0,0
CJ1010005528,205,270,265,145,200,230,260,155,290,185,121,180,245,260,120,160,80,0,210,190,119,170,140,120,160,200,200,265,140,200,140,170,120,80,80,60,165,15,315,160,160,194,125,170,160,190,65,90,180,140,185,130,50,85,140,40
CJ1010005530,50,15,0,80,0,20,0,20,0,25,40,30,20,20,20,20,0,0,20,40,0,40,0,20,0,20,40,0,25,20,0,30,40,15,0,20,0,0,0,0,0,0,10,0,0,0,0,11,0,0,0,0,1,0,0,0
