通用码,数据模式,V6方法,V6.1方法,V6_MASE,V6.1_MASE,V6总量误差,V6.1总量误差,优胜者
CF3300320001,sparse,croston,croston,0.0299,0.0299,0.96,0.96,V6
CF3300350593,trending,ma_3,ma_3,0.0,0.0,0.0,0.0,持平
CF3300350594,trending,ma_3,ma_3,0.0,0.0,0.0,0.0,持平
CF3300350595,trending,ma_3,ma_3,0.0,0.0,0.0,0.0,持平
CF3300350596,trending,ma_3,ma_3,0.0,0.0,0.0,0.0,持平
CJ1010002556,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ1010003287,intermittent,adida,adida,0.0031,0.0031,0.39,0.39,V6.1
CJ1010003584,intermittent,optimized_ses,optimized_ses,0.0672,0.0672,3.64,3.64,V6
CJ1010003803,intermittent,weighted_ma_5,weighted_ma_5,0.0175,0.0175,0.33,0.33,V6
CJ1010003846,intermittent,winsorized,winsorized,0.0921,0.0921,3.19,3.19,V6
CJ1010003857,intermittent,ma_3,ma_3,0.0168,0.0168,0.67,0.67,V6
CJ1010003867,stable,optimized_hw,optimized_hw,0.0607,0.0607,10.38,10.38,V6.1
CJ1010003937,sparse,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ1010003958,intermittent,tsb_opt,tsb_opt,0.0288,0.0288,1.42,1.42,V6.1
CJ1010004051,intermittent,winsorized,winsorized,0.4473,0.4473,45.62,45.62,V6
CJ1010004074,seasonal,damped_trend,damped_trend,0.0423,0.0423,7.54,7.54,V6
CJ1010004086,sparse,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ1010004169,seasonal,seasonal_naive,seasonal_naive,0.0427,0.0427,4.0,4.0,V6.1
CJ1010004170,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ1010004439,seasonal,seasonal_naive,seasonal_naive,0.0,0.0,0.0,0.0,持平
CJ1010004510,lumpy,tsb_opt,tsb_opt,0.16,0.16,27.52,27.52,V6.1
CJ1010004675,seasonal,ma_3,ma_3,0.0106,0.0106,5.0,5.0,V6.1
CJ1010004676,stable,ma_3,ma_3,0.0636,0.0636,25.0,25.0,V6.1
CJ1010004903,trending,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ1010004973,intermittent,sba,sba,0.235,0.235,2.82,2.82,V6
CJ1010004974,seasonal,theta,theta,0.0172,0.0172,3.37,3.37,V6
CJ1010005169,sparse,winsorized,winsorized,0.0136,0.0136,0.12,0.12,V6.1
CJ1010005251,seasonal,seasonal_naive,seasonal_naive,0.0,0.0,0.0,0.0,持平
CJ1010005351,lumpy,naive_drift,naive_drift,0.2033,0.2033,10.0,10.0,V6.1
CJ1010005371,sparse,adida,adida,0.1384,0.1384,3.96,3.96,V6
CJ1010005477,seasonal,seasonal_naive,seasonal_naive,0.0,0.0,0.0,0.0,持平
CJ1010005478,seasonal,damped_trend,damped_trend,0.0106,0.0106,5.53,5.53,V6.1
